timestamp; cpu; ram; disco
2026-08-20 10:20:59; 6.8; 86.3; 91.7
2026-08-20 10:21:01; 5.2; 86.3; 91.7
2026-08-20 10:21:03; 3.4; 86.2; 91.7
2026-08-20 10:21:05; 11.8; 85.1; 91.7
2026-08-20 10:21:07; 3.0; 84.9; 91.7
2026-08-20 10:21:09; 4.4; 84.8; 91.7
2026-08-20 10:21:11; 5.3; 84.6; 91.7
2026-08-20 10:21:13; 5.2; 84.7; 91.7
2026-08-20 10:21:15; 0.8; 84.7; 91.7
2026-08-20 10:21:17; 3.9; 84.6; 91.7
