timestamp,CPU,ram,disco
2026-08-18 13:18:29.255516,29.8,80.0,46.8
2026-08-18 13:18:31.257168,7.3,79.9,46.8
2026-08-18 13:18:33.259634,7.4,79.8,46.8
2026-08-18 13:18:35.262452,5.8,79.8,46.8
2026-08-18 13:18:37.264862,7.6,79.7,46.8
2026-08-18 13:18:39.266509,9.5,79.7,46.8
2026-08-18 13:18:41.268834,10.7,79.8,46.8
2026-08-18 13:18:43.271361,8.8,79.8,46.8
2026-08-18 13:18:45.273491,8.8,79.8,46.8
2026-08-18 13:18:47.275145,9.3,79.8,46.8
2026-08-18 13:18:49.278349,4.9,79.7,46.8
2026-08-18 13:18:51.281073,7.9,79.7,46.8
2026-08-18 13:18:53.283524,9.9,79.7,46.8
